REGIONÁLNÍ PŘEBOR  3. TŘÍDY 2022;;;;;;;;;;
;;;;;;;;;;
Tabulka;;;;;;;;;;
Pos.;Poř.;Družstvo;PU;V;R;P;K;Skóre;;Body
P;1;SK Janské Lázně B;12;9;1;2;0;152;64;47
;2;Spolek přátel stolního tenisu Trutnov B;12;7;2;3;0;120;96;39
;3;TJ Sokol Velké Svatoňovice C;12;6;3;3;0;110;106;36
;4;TTC koberce Brázda Vrchlabí C;12;5;2;5;0;99;117;29
;5;TJ LOKOMOTIVA TRUTNOV B;12;4;4;4;0;116;100;28
;6;Tělocvičná jednota Sokol Žireč;12;5;0;7;0;110;106;25
;7;TJ Lánov B;12;0;0;12;0;49;167;0
;;;;;;;;;;
;;;;;;;;;;
Tabulka z domácích utkání;;;;;;;;;;
Pos.;Poř.;Družstvo;PU;V;R;P;K;Skóre;;Body
;1;SK Janské Lázně B;6;5;1;0;0;84;24;27
;2;TJ Sokol Velké Svatoňovice C;6;4;1;1;0;61;47;22
;3;Spolek přátel stolního tenisu Trutnov B;6;4;1;1;0;62;46;22
;4;TTC koberce Brázda Vrchlabí C;6;4;1;1;0;60;48;22
;5;Tělocvičná jednota Sokol Žireč;6;3;0;3;0;58;50;15
;6;TJ LOKOMOTIVA TRUTNOV B;6;1;2;3;0;47;61;9
;7;TJ Lánov B;6;0;0;6;0;30;78;0
;;;;;;;;;;
;;;;;;;;;;
Tabulka z hostujících utkání;;;;;;;;;;
Pos.;Poř.;Družstvo;PU;V;R;P;K;Skóre;;Body
;1;SK Janské Lázně B;6;4;0;2;0;68;40;20
;2;TJ LOKOMOTIVA TRUTNOV B;6;3;2;1;0;69;39;19
;3;Spolek přátel stolního tenisu Trutnov B;6;3;1;2;0;58;50;17
;4;TJ Sokol Velké Svatoňovice C;6;2;2;2;0;49;59;14
;5;Tělocvičná jednota Sokol Žireč;6;2;0;4;0;52;56;10
;6;TTC koberce Brázda Vrchlabí C;6;1;1;4;0;39;69;7
;7;TJ Lánov B;6;0;0;6;0;19;89;0
